Name,Platform,Year,Score,User_Score,Developer,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Crash Bandicoot 3: Warped,PlayStation,1998,91,9,NaughtyDog,Action,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
Project Gotham Racing 2,Xbox,2003,90,8.7,BizarreCreations,Driving,NA,NA,NA,NA,NA,NA
NBA 2K12,PlayStation3,2011,90,6.7,VisualConcepts,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62
The Sims 2,PC,2004,90,8.7,Maxis,Simulation,Electronic Arts,0.49,0.55,0,0.33,1.37
Animal Crossing: New Horizons,Switch,2020,90,5.4,Nintendo,Simulation,NA,NA,NA,NA,NA,NA
World of Warcraft: Cataclysm,PC,2010,90,5.7,BlizzardEntertainment,Role-Playing,Activision,1.77,0.32,0,0,2.08
Rayman 2: The Great Escape,Nintendo64,1999,90,8.8,UbisoftMontpellier,Action,Ubisoft,0.4,0.22,0,0.02,0.64
Bayonetta,Xbox360,2010,90,8.1,PlatinumGames,Action,Sega,0.44,0.39,0.21,0.16,1.21
Diablo III: Ultimate Evil Edition,PlayStation4,2014,90,7.9,BlizzardEntertainment,Action,NA,NA,NA,NA,NA,NA
ICO,PlayStation2,2001,90,8.8,SCEJapanStudio,Action,Sony Computer Entertainment,0.23,0.18,0,0.06,0.47
Tom Clancy's Ghost Recon Advanced Warfighter,Xbox360,2006,90,7.9,UbisoftParis,Action,Ubisoft,1.4,0.02,0.02,0.1,1.54
FIFA Soccer 12,PlayStation3,2011,90,7.2,ElectronicArts,Sports,NA,NA,NA,NA,NA,NA
Mario & Luigi: Superstar Saga,GameBoyAdvance,2003,90,8.9,AlphadreamCorporation,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17
Shovel Knight,PlayStation4,2015,90,7.7,YachtClubGames,Action,Yacht Club Games,0.08,0.04,0.02,0.01,0.14
Tony Hawk's Underground,PlayStation2,2003,90,8.7,NeversoftEntertainment,Sports,Activision,2.29,1.17,0.01,0.42,3.9
Marvel vs. Capcom 2,Dreamcast,2000,90,8.8,Capcom,Action,NA,NA,NA,NA,NA,NA
Ape Escape,PlayStation,1999,90,8.5,SCEI,Action,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63
Syphon Filter,PlayStation,1999,90,8.8,Eidetic,Action,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88
Mario & Luigi: Bowser's Inside Story,DS,2009,90,8.8,AlphadreamCorporation,Role-Playing,Nintendo,2.23,0.47,0.81,0.26,3.77
Trials Evolution,Xbox360,2012,90,8,"Ubisoft,RedLynx",Driving,NA,NA,NA,NA,NA,NA
Grand Theft Auto IV: The Lost and Damned,Xbox360,2009,90,8,RockstarNorth,Action,NA,NA,NA,NA,NA,NA
Monster Hunter: World - Iceborne,XboxOne,2019,90,8.2,Capcom,Role-Playing,NA,NA,NA,NA,NA,NA
Spelunky,PC,2013,90,7.2,"DerekYu,Mossmouth",Action,NA,NA,NA,NA,NA,NA
Ratchet & Clank: Going Commando,PlayStation2,2003,90,8.9,InsomniacGames,Action,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
NBA Street Vol. 2,PlayStation2,2003,90,8.7,ElectronicArts,Sports,Electronic Arts,1.69,0.2,0,0.06,1.95
Tennis 2K2,Dreamcast,2001,90,7.8,Hitmaker,Sports,NA,NA,NA,NA,NA,NA
Black & White,PC,2001,90,7.7,LionheadStudios,Strategy,Electronic Arts,0,0.04,0,0,0.04
The Legend of Zelda: The Wind Waker HD,WiiU,2013,90,9,"Nintendo,HexaDrive",Action,NA,NA,NA,NA,NA,NA
Portal,PC,2007,90,9.2,ValveSoftware,Action,NA,NA,NA,NA,NA,NA
Tetris Effect,PC,2019,90,6.6,EnhanceGames,Puzzle,NA,NA,NA,NA,NA,NA
The Legend of Zelda: Phantom Hourglass,DS,2007,90,8,Nintendo,Action,Nintendo,1.85,1.8,0.95,0.48,5.08
MVP Baseball 2004,PlayStation2,2004,90,8.5,EASports,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34
Dance Dance Revolution,PlayStation,2001,90,8.4,Konami,Miscellaneous,NA,NA,NA,NA,NA,NA
NHL 2001,PC,2000,90,6.6,EASports,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96
Advance Wars: Dual Strike,DS,2005,90,8.9,IntelligentSystems,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39
MLB 11: The Show,PlayStation3,2011,90,8,SCEASanDiegoStudios,Sports,Sony Computer Entertainment,0.54,0,0,0.04,0.58
NieR: Automata - Become as Gods Edition,XboxOne,2018,90,9,PlatinumGames,Role-Playing,NA,NA,NA,NA,NA,NA
Jak and Daxter: The Precursor Legacy,PlayStation2,2001,90,8.8,NaughtyDog,Action,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
Star Wars Rogue Leader: Rogue Squadron II,GameCube,2001,90,8.6,Factor5,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
Bastion,Switch,2018,90,7.7,SupergiantGames,Role-Playing,NA,NA,NA,NA,NA,NA
Monster Hunter: World,XboxOne,2018,90,7.1,Capcom,Role-Playing,NA,NA,NA,NA,NA,NA
Stephen's Sausage Roll,PC,2016,90,5.4,increpare,Puzzle,NA,NA,NA,NA,NA,NA
Velocity 2X,PlayStationVita,2014,90,7.2,FuturLab,Shooter,NA,NA,NA,NA,NA,NA
Burnout Revenge,PlayStation2,2005,90,8.8,CriterionGames,Driving,Electronic Arts,0.75,0.03,0,0.12,0.9
NCAA Football 2002,PlayStation2,2001,90,8.4,EASports,Sports,Electronic Arts,0.77,0.6,0,0.2,1.57
Unreal Tournament,Dreamcast,2001,90,8.8,SecretLevel,Action,Infogrames,0.28,0.22,0,0.07,0.58
Deus Ex,PC,2000,90,9.2,IonStorm,Action,Eidos Interactive,0,0.01,0,0,0.01
Donkey Kong 64,Nintendo64,1999,90,8.6,RareLtd.,Action,Nintendo,3.33,0.79,1.09,0.06,5.27
Panzer Dragoon Orta,Xbox,2003,90,8.4,Smilebit,Action,Sega,0.16,0.05,0.04,0.01,0.26
Portal: Still Alive,Xbox360,2008,90,8.3,ValveSoftware,Action,NA,NA,NA,NA,NA,NA
Half-Life 2: Episode Two,PC,2007,90,9.1,ValveSoftware,Action,NA,NA,NA,NA,NA,NA
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,PC,2004,90,8.6,Starbreeze,Action,NA,NA,NA,NA,NA,NA
Shin Megami Tensei: Persona 4,PlayStation2,2008,90,7.6,AtlusCo.,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82
Hollow Knight,Switch,2018,90,8.9,TeamCherry,Action,NA,NA,NA,NA,NA,NA
MLB 09: The Show,PlayStation3,2009,90,8.1,SCEASanDiegoStudios,Sports,Sony Computer Entertainment,0.66,0,0,0.06,0.72
Blast Corps,Nintendo64,1997,90,8.4,RareLtd.,Action,Nintendo,0.39,0.09,0.17,0.06,0.71
Sid Meier's Civilization III,PC,2001,90,8.4,FiraxisGames,Strategy,NA,NA,NA,NA,NA,NA
NFL 2K2,Dreamcast,2001,90,8.2,VisualConcepts,Sports,Sega,0.44,0.34,0,0.11,0.89
WWF SmackDown! 2: Know Your Role,PlayStation,2000,90,8.4,Yuke's,Action,THQ,1.76,1.21,0.07,0.16,3.2
LIMBO,Xbox360,2010,90,8.4,PLAYDEAD,Action,NA,NA,NA,NA,NA,NA
Ori and the Blind Forest: Definitive Edition,Switch,2019,90,8.6,MoonStudios,Action,NA,NA,NA,NA,NA,NA
Silent Hunter III,PC,2005,90,7.8,Ubisoft,Simulation,Ubisoft,0,0.07,0,0.01,0.08
Assassin's Creed: Brotherhood,PlayStation3,2010,90,8.3,UbisoftMontreal,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49
Super Meat Boy,Xbox360,2010,90,8,TeamMeat,Action,NA,NA,NA,NA,NA,NA
Dead Space 2,Xbox360,2011,90,8.7,VisceralGames,Action,Electronic Arts,0.94,0.44,0,0.13,1.51
Pikmin 2,GameCube,2004,90,9,Nintendo,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
NBA 2K17,XboxOne,2016,90,5.9,VisualConcepts,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88
Grandia II,Dreamcast,2000,90,8.7,GameArts,Role-Playing,Ubisoft,0.14,0.11,0,0.04,0.29
Geometry Wars: Retro Evolved 2,Xbox360,2008,90,8.3,BizarreCreations,Action,NA,NA,NA,NA,NA,NA
Sid Meier's Civilization V,PC,2010,90,8,FiraxisGames,Strategy,Take-Two Interactive,0.98,0.52,0,0.17,1.68
Super Mario 3D Land,3DS,2011,90,8.4,Nintendo,Action,Nintendo,4.89,3,2.14,0.78,10.81
Mario Kart 8 DLC Pack 2,WiiU,2015,90,8.9,Nintendo,Driving,NA,NA,NA,NA,NA,NA
Falcon 4.0: Allied Force,PC,2005,90,7.8,LeadPursuit,Simulation,Graphsim Entertainment,0,0.02,0,0,0.02
Deus Ex: Human Revolution,PC,2011,90,8.5,NixxesSoftware,Action,Square Enix,0.76,0.47,0.02,0.12,1.37
XCOM: Enemy Unknown,Xbox360,2012,90,8.3,FiraxisGames,Strategy,Take-Two Interactive,0.27,0.36,0,0.08,0.71
Metroid Prime 3: Corruption,Wii,2007,90,8.8,RetroStudios,Action,Nintendo,0.89,0.74,0.07,0.09,1.79
Flight Simulator 2002,PC,2001,90,7.3,MicrosoftGameStudios,Simulation,NA,NA,NA,NA,NA,NA
Banjo-Tooie,Nintendo64,2000,90,8.8,RareLtd.,Action,Nintendo,0.82,0.36,0.25,0.06,1.49
Brothers: A Tale of Two Sons,PC,2013,90,8.5,Starbreeze,Action,505 Games,0.03,0.08,0,0.02,0.14
Dota 2,PC,2013,90,6.5,ValveSoftware,General,NA,NA,NA,NA,NA,NA
TimeSplitters 2,PlayStation2,2002,90,8.8,FreeRadicalDesign,Action,Eidos Interactive,0.34,0.27,0,0.09,0.7
Guild Wars 2,PC,2012,90,8.1,ArenaNet,General,NCSoft,0.96,1.07,0,0.27,2.31
Forza Motorsport 2,Xbox360,2007,90,8.3,Turn10,Driving,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PlayStation4,2015,90,7.9,TelltaleGames,Adventure,NA,NA,NA,NA,NA,NA
Pushmo,3DS,2011,90,8.3,IntelligentSystems,Miscellaneous,NA,NA,NA,NA,NA,NA
The Witcher 3: Wild Hunt - Hearts of Stone,PlayStation4,2015,90,9,CDProjektRedStudio,Role-Playing,NA,NA,NA,NA,NA,NA
Metal Gear Solid HD Collection,Xbox360,2011,90,8.8,"Genki,BluepointGames",Miscellaneous,NA,NA,NA,NA,NA,NA
Freedom Force,PC,2002,90,7.7,IrrationalGames,Role-Playing,NA,NA,NA,NA,NA,NA
Colin McRae Rally 2.0,PlayStation,2000,90,8.3,Codemasters,Driving,Codemasters,0.02,0.8,0.02,0.07,0.91
FIFA Soccer 13,Xbox360,2012,90,6.2,ElectronicArts,Sports,Electronic Arts,1.06,5.01,0.13,1.97,8.16
Into the Breach,PC,2018,90,7.8,SubsetGames,Strategy,NA,NA,NA,NA,NA,NA
GTR 2,PC,2006,90,8.6,SimBin,Driving,NA,NA,NA,NA,NA,NA
Yakuza 0,XboxOne,2020,90,7.9,RyugaGotokuStudios,Action,NA,NA,NA,NA,NA,NA
